Article ID;PBID;Score;
1;36169998;1;
2;35916694;1;
3;35673153;0;
4;35592979;1;
5;35573357;1;
6;35471995;0;
7;35410496;0;
8;35386525;1;
9;35351572;1;
10;35308884;1;
11;35256889;1;
12;35230960;1;
13;35161995;1;
14;35105418;1;
15;35079614;0;
16;34847158;0;
17;34736439;1;
18;34569852;0;
19;34468332;1;
20;34383674;1;
21;34370610;0;
22;34255648;0;
23;34132648;0;
24;33856585;1;
25;33772095;1;
26;33737262;0;
27;33716812;0;
28;33710442;0;
29;33334505;1;
30;33029666;1;
31;32962436;0;
32;32897233;0;
33;32424511;1;
34;32234697;0;
35;32207697;0;
36;32159519;0;
37;31724703;0;
38;31440495;1;
39;31393252;1;
40;31336804;1;
41;31285836;0;
42;31142022;1;
43;30909209;0;
44;30696453;0;
45;30383458;0;
46;30333096;0;
47;30327292;1;
48;30287612;1;
49;30248709;0;
50;30110718;0;
