title,doi,pubmed_id,abstract,pub_date,authors,researchkeys,score
Deep Brain Stimulation during Pregnancy and Delivery: Review of Current Literature.,10.1055/s-0042-1753549,36261059,"Deep brain stimulation (DBS) is an established method in the treatment of not only Parkinson's disease motor complications but also dystonia and tremor, and there are data supporting the efficacy of DBS in epilepsy and some psychiatric problems. The alleviation of the neurologic problems may enable females of childbearing age to consider pregnancy because of being able to take care of their child. The aim of the study is to provide a review of the data available on the effect of DBS on the course of pregnancy and delivery in patients suffering from diseases amenable for DBS treatment (Parkinson's disease, dystonia, obsessive compulsive disorder, Tourette's syndrome, epilepsy). Although data available in the literature on pregnancy and childbirth in patients with an implanted active DBS system are limited to small case series and case reports, the number of younger patients implanted with DBS systems will potentially require more attention beyond specialized DBS centers. In emergency deliveries, general obstetricians and neurosurgeons should be provided with a protocol to prevent injuries to the implanted system with potentially devastating consequences for the patient.",2022-10-20,"Marek Baláž, Jiří Búřil, Jonáš Kunst, Dušan Hrabovský, Šimon Hajda, Jan Chrastina","((attention AND (disorder OR disorders)) OR ""ADHD"") AND (kid OR kids OR child OR children OR childhood) AND (treatment OR treatments OR therapy OR therapies) NOT (adult OR adults)",-
New Electrographic Marker? Evaluation of Sleep Spindles in Children with Attention Deficit Hyperactivity Disorder.,10.1177/15500594221134025,36259661,,2022-10-20,"Pınar Özbudak, Ahmet Özaslan, Esra Ülgen Temel, Esra Güney, Ayşe Serdaroğlu, Ebru Arhan","((attention AND (disorder OR disorders)) OR ""ADHD"") AND (kid OR kids OR child OR children OR childhood) AND (treatment OR treatments OR therapy OR therapies) NOT (adult OR adults)",-
Randomized placebo-controlled crossover trial of memantine in children with epileptic encephalopathy.,10.1093/brain/awac380,36256600,"Memantine is an N-methyl-D-aspartate receptor antagonist, approved for dementia treatment. There is limited evidence of memantine showing benefit for pediatric neurodevelopmental phenotypes, but no randomized placebo-controlled trials in children with developmental and epileptic encephalopathy. In this randomized double-blind placebo-controlled crossover trial (Trial registration: https://clinicaltrials.gov/ct2/show/NCT03779672), patients with e developmental and epileptic encephalopathy received memantine and placebo, each for a 6-week period separated by a 2-week washout phase. Electroencephalography, seizure diary, patient caregivers' global impression, serum inflammatory markers, and neuropsychological evaluation were performed at baseline and after each treatment phase. The primary outcome measure was classification as a ""responder,"" defined as ≥ 2 of: > 50% seizure frequency reduction, electroencephalography improvement, caregiver clinical impression improvement, or clear neuropsychological testing improvement. Thirty-one patients (13 females) enrolled. Two patients withdrew prior to initiating medication and two (twins) had to be removed from analysis. Of the remaining 27 patients, nine (33%) were classified as responders to memantine versus two (7%) in the placebo group (p < 0.02). Electroencephalography improvement was seen in eight patients on memantine compared to two on placebo (p < 0.04). Seizure improvement was observed in eight patients on memantine and two on placebo (p < 0.04). Caregivers reported overall clinical improvement in 10 patients on memantine compared to seven on placebo (not significant). Statistical analysis of neuropsychological evaluation suggested improvements in symptoms of attention deficit hyperactivity disorder and autism. Memantine is a safe and effective treatment for children with developmental and epileptic encephalopathy, having the potential to improve both seizure control and cognitive function.",2022-10-19,"Katharina Schiller, Saoussen Berrahmoune, Christelle Dassi, Isabelle Corriveau, Taghreed A Ayash, Bradley Osterman, Chantal Poulin, Michael I Shevell, Elisabeth Simard-Tremblay, Guillaume Sébire, Kenneth A Myers","((attention AND (disorder OR disorders)) OR ""ADHD"") AND (kid OR kids OR child OR children OR childhood) AND (treatment OR treatments OR therapy OR therapies) NOT (adult OR adults)",-
Management and outcomes in children with lupus nephritis in the developing countries.,10.1007/s00467-022-05769-x,36255555,"Lupus nephritis (LN) has variable prevalence, severity, and outcomes across the world.
This review compares the outcomes of childhood LN in low- and middle-income countries (LMICs) and high-income countries (HICs) and aims to summarize long-term outcomes of pediatric LN from LMICs.
A systematic literature search, conducted in PubMed, EMBASE, and Cochrane database in the last 30-years from January 1992, published in the English language, identified 113 studies including 52 from lower (n = 1336) and upper MICs (n = 3014).
Cohort studies or randomized controlled trials, of patients ≤ 18 years of age (or where such data can be separately extracted), with > 10 patients with clinically or histologically diagnosed LN and outcomes reported beyond 12 months were included.
Patients ≤ 18 years of age with clinically or histologically diagnosed LN; effect of an intervention was not measured.
Two authors independently extracted data. We separately analyzed studies from developed countries (high income countries; HIC) and developing countries (LMICs). Middle-income countries were further classified as lower and upper MICs. Meta-analyses of data were performed by calculating a pooled estimate utilizing the random-effects model. Test for heterogeneity was applied using I
Kidney remission was similar across MICs and HICs with 1-year pooled complete remission rates of 59% (95% CI 51-67%); one third of patients had kidney flares. The pooled 5-year survival free of stage 5 chronic kidney disease (CKD5) was lower in MICs, especially in lower MICs compared to HICs (83% vs. 93%; P = 0.002). The pooled 5-year patient survival was significantly lower in MICs than HICs (85% vs. 94%; P < 0.001). In patients with class IV LN, the 5-and 10-year respective risk of CKD5 was 14% and 30% in MICs; corresponding risks in HICs were 8% and 17%. Long-term data from developing countries was limited. Sepsis (48.8%), kidney failure (14%), lupus activity (18.1%), and intracranial hemorrhage/infarct (5.4%) were chief causes of death; mortality due to complications of kidney failure was more common in lower MICs (25.6%) than HICs (6.4%).
The review is limited by heterogenous approach to diagnosis and management that has changed over the period spanning the review. World Bank classification based on income might not correlate with the standards of medical care. The overall quality of evidence is low since included studies were chiefly retrospective and single center.
Challenges in LMICs include limited access to pediatric nephrology care, dialysis, increased risk of infection-induced mortality, lack of frequent monitoring, and non-compliance due to cost of therapy. Attention to these issues might update the existing data and improve patient follow-up and outcomes.
PROSPERO 2022 number: CRD42022359002, available from: https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022359002.",2022-10-19,"Priyanka Khandelwal, Srinivasavaradan Govindarajan, Arvind Bagga","((attention AND (disorder OR disorders)) OR ""ADHD"") AND (kid OR kids OR child OR children OR childhood) AND (treatment OR treatments OR therapy OR therapies) NOT (adult OR adults)",-
A Counting Stroop Functional Magnetic Resonance Imaging Study on the Effects of ORADUR-Methylphenidate in Drug-Naive Children with Attention-Deficit/Hyperactivity Disorder.,10.1089/cap.2022.0024,36251766,,2022-10-18,"Chi-Yung Shang, Tai-Li Chou, Cheng-Yu Hsieh, Susan Shur-Fen Gau","((attention AND (disorder OR disorders)) OR ""ADHD"") AND (kid OR kids OR child OR children OR childhood) AND (treatment OR treatments OR therapy OR therapies) NOT (adult OR adults)",-
The effects of rapid maxillary expansion on persistent pediatric snoring post-tonsillectomy.,10.1007/s11325-022-02724-w,36251209,"To investigate the short-term effects of rapid maxillary expansion (RME) on the quality of life of children who had persistent snoring post-adenotonsillectomy (AT).
The study included children with maxillary constriction aged 5 to 12 years, two or more years after AT whose parents/guardians reported that they still snored ≥ 5 nights per week. We enrolled children with sleep-disordered breathing, including children with primary snoring and children with obstructive sleep apnea (OSA). All patients underwent laryngeal nasofibroscopy and complete polysomnography. Quality of Life (QOL) Questionnaire (OSA-18), the Pediatric Sleep Questionnaire (PSQ), Conners Abbreviated Scale (CAS), and the Epworth Sleepiness Scale (ESS) were administered before and after RME.
Of 24 children enrolled, 13 had primary snoring and 11 had OSA. Overall OSA-18 scores were reduced in both groups (intragroup difference, p < 0.001). The PSQ total score, CAS, and ESS were significantly reduced in both groups (p < 0.001) In the evaluation of snoring, there was a reduction due to the treatment effect in both groups (p < 0.001). Daytime sleepiness and attention deficit hyperactivity disorders were also positively affected in both groups.
Our study demonstrated the potential benefit of RME in treating children with persistent snoring and transverse maxillary deficiency (TMD). RME can improve snoring and the QOL of children with refractory SDB after AT.
ClinicalTrials.gov Identifier: RBR-463byn.",2022-10-18,"Rita Catia Brás Bariani, Renato Bigliazzi, Thais de Moura Guimarães, Sergio Tufik, Gustavo Antônio Moreira, Reginaldo Raimundo Fujita","((attention AND (disorder OR disorders)) OR ""ADHD"") AND (kid OR kids OR child OR children OR childhood) AND (treatment OR treatments OR therapy OR therapies) NOT (adult OR adults)",-
Coconut oil rubbing as an easy and safe way to improve symptoms in primary nocturnal enuresis: A randomized double-blinded placebo-controlled clinical trial.,10.22038/AJP.2022.20346,36249458,"Enuresis is a common pediatric problem for which, no unique therapy has been suggested. The conventional therapy is effective, but fails in some cases. So, many parents try complementary medicine. Therefore, this study attempted to find if rubbing coconut oil is effective on improving enuresis.
This double-blinded randomized clinical was conducted on 120 children aged 6 to 14 years with mono symptomatic nocturnal enuresis, from 2018 to 2019 in Yazd, Iran. The drug and placebo groups applied 6 drops of the coconut and paraffin oil topically on the suprapubic, sacral and flanks areas one time per night, respectively. Urination pattern was daily recorded for a period of 8 weeks by parents, and after one year, they were asked for any improvement by phone call.
The mean frequency of enuresis at the first, second, fourth, and eighth week was lower in the intervention group (p<0.001); this difference between the groups remained after one year. Moreover, there was no side effect requiring any medical attention.
Rubbing coconut oil is effective on improving symptom of primary mono symptomatic enuresis if applied every night for 4 weeks on suprapubic, sacral and flanks areas. This may be related to anticholinergic effect of the oil but its persistent effect for longer time after the end of application period, needs to be investigated in other studies.",2022-10-18,"Abolfazl Dehghanpour, Monire Seyedhashemi, Ahmad Zare Bidaki, Zohre Mousavi, Majid Emtiazy, Mehrdad Shakiba","((attention AND (disorder OR disorders)) OR ""ADHD"") AND (kid OR kids OR child OR children OR childhood) AND (treatment OR treatments OR therapy OR therapies) NOT (adult OR adults)",-
"Tic Disorders, Anti-Tic Medications, and Risk of Atopy.",10.1002/mdc3.13506,36247912,"To clarify patterns of comorbid atopic disorders in children with tic disorders compared to controls, and to evaluate whether medications commonly used for treatment of tics and attention deficit hyperactivity disorder (ADHD) are associated with differing risks of atopy.
Inflammatory mechanisms are increasingly recognized as playing a role in a range of neuropsychiatric disorders. The association between tic disorders, ADHD, obsessive-compulsive disorder (OCD) and atopic disorders is uncertain.
We performed a retrospective cohort study using the global electronic health records database TriNetX. Using odds ratios, we compared the risk of atopy in children with tic disorder (n = 4508), ADHD (n = 83,569), and/or OCD (n = 1555) to controls (n = 758 290). To analyze the risk of developing atopy with use of different medications commonly prescribed to treat tics and ADHD, we performed a separate analysis including children with tic disorder, ADHD, and/or OCD who had initiated treatment with one of these medications. Binary logistic regression controlling for age and sex was used to calculate odds ratios.
Children with tic disorder, ADHD, or OCD were more likely than controls to have comorbid atopy. Children who had taken clonidine, guanfacine, methylphenidate, or dexmethylphenidate were more likely to develop an atopic disorder than controls.
Our study suggests a link between atopic disorders and tic disorders, ADHD, and OCD. Although the underlying mechanism for this association remains unclear, medication use may play a role.",2022-10-18,"Mathew Hakimi, Sandra Skinner, Carine W Maurer","((attention AND (disorder OR disorders)) OR ""ADHD"") AND (kid OR kids OR child OR children OR childhood) AND (treatment OR treatments OR therapy OR therapies) NOT (adult OR adults)",-
Dynamic characteristics of COVID-19 infection in Chinese children.,,36247253,"From the start of the coronavirus disease 2019 (COVID-19) pandemic in 2020, COVID-19 infection in the pediatric population has aroused great attention. This article presents dynamic epidemiological characteristics of COVID-19 infection in pediatric patients from January 2020 to March 2022 in China. These data contributed essential insights and shared experience on the management of COVID-19 in children. To date, the unvaccinated population and events with children need more attention.",2022-10-18,"Yunhua Zhang, Hui Li, Boqi Xiang, Jing Du, Yan Huang, Guanwen Lin, Duozhi Wu","((attention AND (disorder OR disorders)) OR ""ADHD"") AND (kid OR kids OR child OR children OR childhood) AND (treatment OR treatments OR therapy OR therapies) NOT (adult OR adults)",-
A meta-analysis of the relationship between polycystic ovary syndrome and sleep disturbances risk.,10.3389/fphys.2022.957112,36246113,,2022-10-18,"Chaoyu Wang, Tao Huang, Wu Song, Jinru Zhu, Yanhong Liu, Xiaojuan Chen, Xishi Sun, Qinglan Wu, Huimin Chen, Huizhao Liao, Junyan Lin, Xudong Ou, Zhihong Zou, Zhiwei Wang, Zhenzhen Zheng, Kang Wu, Riken Chen","((attention AND (disorder OR disorders)) OR ""ADHD"") AND (kid OR kids OR child OR children OR childhood) AND (treatment OR treatments OR therapy OR therapies) NOT (adult OR adults)",-
