pubmed_id,Score1
36169998,1
35916694,0
35673153,0
35592979,0
35573357,1
35471995,0
35410496,0
35386525,1
35351572,1
35308884,1
35256889,1
35230960,0
35161995,0
35105418,1
35079614,0
34847158,0
34736439,0
34569852,0
34468332,1
34383674,1
34370610,0
34255648,0
34132648,0
33856585,1
33772095,0
33737262,0
33716812,0
33710442,0
33334505,1
33029666,1
32962436,0
32897233,0
32424511,1
32234697,0
32207697,0
32159519,0
31724703,0
31440495,0
31393252,1
31336804,1
31285836,0
31142022,1
30909209,0
30696453,0
30383458,0
30333096,0
30327292,0
30287612,0
30248709,0
30110718,0
36251766,0
36251209,0
36249458,0
36247912,1
36247253,0
36246113,0
36240247,0
36238091,1
36235697,1
36233440,0
36231116,0
36229176,0
36226261,0
36226108,0
36224169,1
36222990,0
36221129,0
36215241,1
36213914,0
36213906,1
36212189,0
36211978,1
36206819,0
36205184,0
36204667,0
36204580,0
36204437,1
36204431,1
36204430,0
36202238,0
36202109,0
36200795,0
36200795,1
36196666,0
36194365,0
36190722,0
36188445,1
36183050,0
36180887,0
36180540,0
36179573,0
36178915,0
36178643,1
36176490,0
36176158,0
36176150,1
36174365,1
36174277,0
36173945,1
36173676,1
36065420,0
36002025,1
35916694,1
35901105,1
35884684,0
35862446,0
35673153,0
35584197,0
35573465,0
35573357,1
35481725,0
35410496,0
35386525,1
35238931,0
35161995,1
34972140,0
34569852,0
34171615,0
34071829,0
33856585,1
33783254,0
33772095,1
33767571,0
33750533,0
33716812,0
33515870,1
33427693,0
33029666,0
32988343,0
32858596,0
32579117,1
32468537,1
32424511,1
32234697,0
31892657,0
31806614,0
31731576,0
31724703,0
31525207,0
31461155,0
31393320,0
31393252,0
31326523,0
31274260,1
31232898,0
30734583,1
32160440,1
30326531,0
30326433,0
30287612,1
